task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
41	18/6418d9	379839	MERGED_BAM_FILTER (SPT5_T0_R2)	COMPLETED	0	2020-09-10 13:01:01.010	5.8s	3s	131.2%	30.9 MB	2 GB	29.9 MB	13.5 MB
39	ba/46b523	376910	PRESEQ (SPT5_INPUT_R1)	FAILED	1	2020-09-10 13:00:51.590	17.5s	17.4s	-	-	-	-	-
42	00/578290	383147	PRESEQ (SPT5_T0_R2)	COMPLETED	0	2020-09-10 13:01:06.863	8.2s	5.2s	102.3%	16 MB	473.2 MB	8.6 MB	430.2 KB
44	ea/bf3171	385899	MERGED_BAM_FILTER (SPT5_INPUT_R2)	COMPLETED	0	2020-09-10 13:01:15.075	8.4s	5.4s	138.9%	63.7 MB	1.9 GB	55.7 MB	27.9 MB
43	7e/c53e66	384599	PRESEQ (SPT5_INPUT_R2)	FAILED	1	2020-09-10 13:01:09.054	16.9s	16.8s	-	-	-	-	-
46	eb/7f68c9	390306	PRESEQ (SPT5_T15_R1)	COMPLETED	0	2020-09-10 13:01:23.484	7.8s	5.1s	104.9%	15.6 MB	473 MB	9 MB	430.1 KB
45	30/efad13	392062	MERGED_BAM_FILTER (SPT5_T15_R1)	COMPLETED	0	2020-09-10 13:01:25.961	6s	3.4s	137.7%	8.7 MB	32.6 MB	38.4 MB	18.7 MB
47	98/46e072	393723	MERGED_BAM_FILTER (SPT5_T15_R2)	COMPLETED	0	2020-09-10 13:01:31.938	6.8s	3.6s	133.4%	8.7 MB	32.6 MB	38.6 MB	18.8 MB
48	c4/34c7e6	393304	PRESEQ (SPT5_T15_R2)	COMPLETED	0	2020-09-10 13:01:31.257	8.3s	5.2s	101.6%	15.6 MB	472.9 MB	9 MB	429.9 KB
49	52/5d9786	395311	MERGED_BAM_REMOVE_ORPHAN (SPT5_T0_R1)	COMPLETED	0	2020-09-10 13:01:38.746	5.3s	2.4s	97.2%	17.6 MB	56.6 MB	27.1 MB	10.5 MB
50	6e/b5ca3c	395867	MERGED_BAM_REMOVE_ORPHAN (SPT5_INPUT_R1)	COMPLETED	0	2020-09-10 13:01:39.576	6.6s	3.5s	106.3%	61.1 MB	2 GB	46.8 MB	18.3 MB
51	3f/c7d0d7	397120	MERGED_BAM_REMOVE_ORPHAN (SPT5_T0_R2)	COMPLETED	0	2020-09-10 13:01:44.001	5.5s	2s	94.2%	31.6 MB	2 GB	23.7 MB	9.1 MB
52	32/8acc3d	397939	MERGED_BAM_REMOVE_ORPHAN (SPT5_INPUT_R2)	COMPLETED	0	2020-09-10 13:01:46.170	7.1s	3.7s	106.0%	63.6 MB	2 GB	48.2 MB	18.9 MB
53	26/fb502b	399176	MERGED_BAM_REMOVE_ORPHAN (SPT5_T15_R1)	COMPLETED	0	2020-09-10 13:01:49.549	6.3s	2.7s	104.6%	17.7 MB	56.6 MB	32.6 MB	12.7 MB
54	2f/c60b2d	400509	MERGED_BAM_REMOVE_ORPHAN (SPT5_T15_R2)	COMPLETED	0	2020-09-10 13:01:53.242	5.8s	2.6s	107.6%	17.6 MB	56.6 MB	32.5 MB	12.7 MB
